from,to,probability
0,7,0.002
7,27,0.004
27,39,0.006
39,48,0.008
48,55,0.01
55,60,0.012
60,65,0.014
65,69,0.016
69,73,0.018
73,76,0.02
76,88,0.03
88,97,0.04
97,104,0.05
104,110,0.06
110,115,0.07
115,119,0.08
119,123,0.09
123,126,0.10
126,129,0.11
129,132,0.12
132,134,0.13
134,137,0.14
137,139,0.15
139,141,0.16
141,143,0.17
143,146,0.18
146,147,0.19
147,149,0.20
149,150,0.21
150,152,0.22
152,153,0.23
153,155,0.24
155,156,0.25
156,158,0.26
158,159,0.27
159,160,0.28
160,162,0.29
162,163,0.3
163,174,0.4
174,183,0.5
183,191,0.6
191,200,0.7
200,208,0.8
208,219,0.9
219,240,0.99
240,Inf,2.13